I have not received my payslip for this month,HR
My salary was incorrect this month and I need it corrected urgently,HR
Can you explain the annual leave policy and how many days I am entitled to,HR
I want to apply for maternity leave and need to know the process,HR
I need a reference letter from HR for a visa application,HR
My employment contract has not been sent to me yet,HR
I want to raise a formal grievance against a colleague for harassment,HR
Can I change my bank account details for salary payments,HR
I have not been paid my overtime for last month,HR
What is the process to request unpaid leave for personal reasons,HR
My pension contributions do not seem correct on my payslip,HR
I need to update my emergency contact information,HR
How do I apply for a promotion within the company,HR
I am being bullied by my manager and need to report it,HR
Can I get a letter confirming my employment dates and salary,HR
I want to request flexible working hours due to childcare responsibilities,HR
My annual leave balance is showing incorrectly in the system,HR
How do I submit a formal complaint about workplace discrimination,HR
I need information about the company redundancy policy,HR
My probation review has not been scheduled and it is overdue,HR
Can I request a copy of my employment records,HR
I need to change my working hours from full time to part time,HR
What is the policy on working from home permanently,HR
I have a dispute about my notice period in my contract,HR
My health insurance coverage has not started after joining,HR
I need to submit a claim for medical expenses,HR
Can I carry over unused annual leave to next year,HR
I want to know the procedure for taking compassionate leave,HR
My job title on official documents is incorrect,HR
I received no induction when I joined the company three weeks ago,HR
I have not received my bonus payment that was agreed in my contract,HR
Can I take paternity leave and how many weeks am I entitled to,HR
I need to raise a complaint about unfair treatment by a senior manager,HR
My sick pay has not been calculated correctly this month,HR
How do I request a salary review after completing my first year,HR
I was denied a promotion without any explanation and want to appeal,HR
Can I take study leave to complete my professional qualification,HR
My contract says 25 days holiday but I have only been given 20,HR
I need a P60 form for my tax return but have not received one,HR
My line manager is making inappropriate comments and I feel uncomfortable,HR
I would like to know the process for requesting a sabbatical,HR
Can I change my pension contribution percentage through HR,HR
I have returned from maternity leave and my role has changed without agreement,HR
My colleague is being paid more than me for the same job and I want to raise this,HR
I have been off sick for two weeks and need to know about sick pay entitlements,HR
What documentation do I need to provide when starting shared parental leave,HR
I need to report a safeguarding concern about a colleague,HR
My performance review rating seems unfair and I want to challenge it,HR
I am experiencing work related stress and need to know what support is available,HR
Can I request a phased return to work after my long term sickness absence,HR
My laptop is not turning on and I cannot start work,IT
I forgot my password and cannot log into my computer,IT
The company VPN keeps disconnecting every few minutes,IT
My email is not syncing and I am missing important messages,IT
I need access to the shared drive for the finance team,IT
The printer on floor 3 is not working and we need it urgently,IT
My monitor has stopped working and I cannot use two screens,IT
I cannot install software I need for my project,IT
My computer is running extremely slowly and freezing,IT
I am getting a virus warning on my computer screen,IT
I need a new laptop because mine is over 5 years old,IT
The office wifi keeps dropping and I cannot connect reliably,IT
I cannot connect to Teams and am missing all my meetings,IT
My keyboard and mouse have stopped working,IT
I need admin rights to install a specific application for my work,IT
The shared calendar is not showing other people availability,IT
I am unable to access the CRM system after the recent update,IT
My phone is not receiving company emails,IT
I need a second monitor set up at my desk,IT
The video conferencing system in the meeting room is broken,IT
I keep getting locked out of my account after entering the wrong password,IT
I need to set up a new starter with a laptop and email account,IT
My hard drive is making strange noises and I am worried about data loss,IT
I cannot print double sided even though the option is showing,IT
The internal website is down and nobody in my team can access it,IT
I am receiving spam emails from an external address constantly,IT
My computer clock is showing the wrong time zone,IT
I need to recover a file I accidentally deleted two days ago,IT
My Outlook keeps crashing when I try to open attachments,IT
I cannot hear audio in Teams calls and my headset is working fine,IT
My screen has gone black and will not come back on,IT
I need to request a mobile phone for business use,IT
